unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,aqi_category,year,month
170170,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107,Upper West Side (CD7),Annual Average 2009,2008-12-01,12.16,Moderate,2008,12
177142,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Winter 2008-09,2008-12-01,13.3,Moderate,2008,12
179497,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,5,Staten Island,Winter 2008-09,2008-12-01,11.82,Good,2008,12
177160,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Winter 2008-09,2008-12-01,14.69,Moderate,2008,12
179647,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,5,Staten Island,Annual Average 2009,2008-12-01,9.81,Good,2008,12
177173,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,407,Southwest Queens,Winter 2008-09,2008-12-01,12.85,Moderate,2008,12
168439,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,404,Elmhurst and Corona (CD4),Winter 2008-09,2008-12-01,13.4,Moderate,2008,12
173105,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,302,Central Harlem - Morningside Heights,Winter 2008-09,2008-12-01,14.56,Moderate,2008,12
178407,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,202,Downtown - Heights - Slope,Annual Average 2009,2008-12-01,11.5,Good,2008,12
170168,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105,Midtown (CD5),Annual Average 2009,2008-12-01,16.09,Moderate,2008,12
170175,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,112,Washington Heights and Inwood (CD12),Annual Average 2009,2008-12-01,11.55,Good,2008,12
177176,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410,Rockaways,Winter 2008-09,2008-12-01,10.21,Good,2008,12
170187,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212,Williamsbridge and Baychester (CD12),Annual Average 2009,2008-12-01,10.64,Good,2008,12
177167,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,401,Long Island City - Astoria,Winter 2008-09,2008-12-01,13.59,Moderate,2008,12
173106,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,303,East Harlem,Winter 2008-09,2008-12-01,14.13,Moderate,2008,12
177172,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,406,Fresh Meadows,Winter 2008-09,2008-12-01,12.76,Moderate,2008,12
173092,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,104,Pelham - Throgs Neck,Winter 2008-09,2008-12-01,13.3,Moderate,2008,12
177141,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,103,Fordham - Bronx Pk,Winter 2008-09,2008-12-01,14.47,Moderate,2008,12
168451,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,502,South Beach and Willowbrook (CD2),Winter 2008-09,2008-12-01,11.77,Good,2008,12
168450,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,501,St. George and Stapleton (CD1),Winter 2008-09,2008-12-01,12.09,Moderate,2008,12
173110,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,403,Flushing - Clearview,Winter 2008-09,2008-12-01,12.74,Moderate,2008,12
173116,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,305307,Upper East Side-Gramercy,Winter 2008-09,2008-12-01,16.38,Moderate,2008,12
173117,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Winter 2008-09,2008-12-01,16.17,Moderate,2008,12
168427,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,310,Bay Ridge and Dyker Heights (CD10),Winter 2008-09,2008-12-01,12.26,Moderate,2008,12
168448,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Winter 2008-09,2008-12-01,11.72,Good,2008,12
168430,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313,Coney Island (CD13),Winter 2008-09,2008-12-01,10.81,Good,2008,12
168452,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503,Tottenville and Great Kills (CD3),Winter 2008-09,2008-12-01,11.71,Good,2008,12
170193,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,306,Park Slope and Carroll Gardens (CD6),Annual Average 2009,2008-12-01,11.43,Good,2008,12
168424,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Winter 2008-09,2008-12-01,13.65,Moderate,2008,12
168411,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,206,Belmont and East Tremont (CD6),Winter 2008-09,2008-12-01,14.75,Moderate,2008,12
